business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
91807,Samovar Tea FM LLC,1910 Fillmore St,San Francisco,CA,94115,,,,,91807_20190912,09/12/2019 12:00:00 AM,,Reinspection/Followup,91807_20190912_103131,Moderate risk vermin infestation,Moderate Risk,,,,,,
81255,Stanford Court Hotel,905 California St,San Francisco,CA,94108,,,,,81255_20190326,03/26/2019 12:00:00 AM,,Routine - Unscheduled,81255_20190326_103133,Foods not protected from contamination,Moderate Risk,,,,,,
3090,YANK SING RESTAURANT,101 SPEAR St A-16,San Francisco,CA,94105,37.792577,-122.393992,POINT (-122.393992 37.792577),,3090_20191001,10/01/2019 12:00:00 AM,,Routine - Unscheduled,3090_20191001_103142,Unclean nonfood contact surfaces,Low Risk,6,2,9,12,28855,8
101245,West Portable Bar 500,1 Warriors Way Level 600 West,San Francisco,CA,94158,,,,,101245_20190829,08/29/2019 12:00:00 AM,,New Ownership,,,,,,,,,
86282,Leo's Luxury Oyster Bar,568 Sacramento St,San Francisco,CA,94111,,,,,86282_20190319,03/19/2019 12:00:00 AM,,Routine - Unscheduled,86282_20190319_103145,Improper storage of equipment utensils or linens,Low Risk,,,,,,
86076,Won Kok Restaurant,700 Monterey Blvd,San Francisco,CA,94127,,,,14155581826,86076_20190122,01/22/2019 12:00:00 AM,,Routine - Unscheduled,86076_20190122_103120,Moderate risk food holding temperature,Moderate Risk,,,,,,
81528,Hyatt Fisherman's Wharf,555 North Point St,San Francisco,CA,94133,,,,,81528_20180824,08/24/2018 12:00:00 AM,,Routine - Unscheduled,81528_20180824_103142,Unclean nonfood contact surfaces,Low Risk,,,,,,
86076,Won Kok Restaurant,700 Monterey Blvd,San Francisco,CA,94127,,,,14155581826,86076_20190122,01/22/2019 12:00:00 AM,,Routine - Unscheduled,86076_20190122_103161,Low risk vermin infestation,Low Risk,,,,,,
2995,CAFE ROCCO,1131 FOLSOM St,San Francisco,CA,94103,37.776127,-122.408602,POINT (-122.408602 37.776127),,2995_20170117,01/17/2017 12:00:00 AM,,Complaint,2995_20170117_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,34,2,9,8,28853,34
3256,"Connection, The",5740 MISSION St,San Francisco,CA,94112,37.709737,-122.45007,POINT (-122.45007 37.709737),14155336172,3256_20190604,06/04/2019 12:00:00 AM,,Routine - Unscheduled,3256_20190604_103154,Unclean or degraded floors walls or ceilings,Low Risk,25,7,6,9,28861,28
78070,Uno Dos Taco,595 Market St Suite 160,San Francisco,CA,94105,,,,,78070_20190123,01/23/2019 12:00:00 AM,,Routine - Unscheduled,78070_20190123_103133,Foods not protected from contamination,Moderate Risk,,,,,,
76545,Cuppa,2810 Diamond St,San Francisco,CA,94131,,,,14155835282,76545_20190415,04/15/2019 12:00:00 AM,,Routine - Unscheduled,76545_20190415_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,,
93835,Japanese House,480 6th St,San Francisco,CA,94103,,,,,93835_20190312,03/12/2019 12:00:00 AM,,Routine - Unscheduled,93835_20190312_103150,Improper or defective plumbing,Low Risk,,,,,,
81166,Subway Sandwiches #61241,1501 B Sloat Blvd,San Francisco,CA,94123,,,,14155981866,81166_20190911,09/11/2019 12:00:00 AM,,Routine - Unscheduled,,,,,,,,,
98618,SWEET MANGO DESSERT & CAFE,5217 GEARY BLVD,San Francisco,CA,94118,,,,14155994319,98618_20181224,12/24/2018 12:00:00 AM,,New Ownership,,,,,,,,,
99419,ALTA VISTA - LOWER SCHOOL,450 SOMERSET ST,San Francisco,CA,94134,,,,,99419_20190912,09/12/2019 12:00:00 AM,,Routine - Unscheduled,99419_20190912_103156,Permit license or inspection report not posted,Low Risk,,,,,,
99421,HONG KONG LOUNGE,5322 GEARY BLVD,San Francisco,CA,94121,,,,,99421_20190813,08/13/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
79053,Oyaji Restaurant,3123 Clement St,San Francisco,CA,94121,,,,14155756174,79053_20190212,02/12/2019 12:00:00 AM,,Routine - Unscheduled,79053_20190212_103139,Improper food storage,Low Risk,,,,,,
61494,Golden City Inn,5131 03rd St,San Francisco,CA,94124,37.731902,-122.391576,POINT (-122.391576 37.731902),,61494_20180718,07/18/2018 12:00:00 AM,,Routine - Unscheduled,61494_20180718_103109,Unclean or unsanitary food contact surfaces,High Risk,1,3,8,10,58,1
88087,Cafe In,855 Bryant St,San Francisco,CA,94103,,,,,88087_20190610,06/10/2019 12:00:00 AM,,Routine - Unscheduled,88087_20190610_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,,
94609,Happy Donuts,2600 Bayshore Blvd,San Francisco,CA,94134,,,,,94609_20180321,03/21/2018 12:00:00 AM,,Reinspection/Followup,94609_20180321_103102,Unclean hands or improper use of gloves,High Risk,,,,,,
93336,Thai Idea Vegetarian,710 Polk St,San Francisco,CA,94109,,,,,93336_20190312,03/12/2019 12:00:00 AM,,Routine - Unscheduled,93336_20190312_103129,Insufficient hot water or running water,Moderate Risk,,,,,,
69181,Cha-Ya Restaurant,762 Valencia St,San Francisco,CA,94110,37.760777,-122.421505,POINT (-122.421505 37.760777),14155257825,69181_20190529,05/29/2019 12:00:00 AM,,Routine - Unscheduled,69181_20190529_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,19,4,5,2,28859,20
99731,SALTED,475 06th St,San Francisco,CA,94103,,,,14153256348,99731_20190826,08/26/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
75575,Git Hub,88 Colin P. Kelly Jr. St,San Francisco,CA,94107,,,,,75575_20190827,08/27/2019 12:00:00 AM,,Routine - Unscheduled,75575_20190827_103159,Worker safety hazards,Low Risk,,,,,,
90523,Silver Star Cafe & Deli,316 Pacific St,San Francisco,CA,94111,,,,,90523_20190712,07/12/2019 12:00:00 AM,,Routine - Unscheduled,90523_20190712_103156,Permit license or inspection report not posted,Low Risk,,,,,,
